,accuracy_score,average_precision_score,f1_score,fn,fp,name,params_full,roc_auc_score,tn,tp
0,0.6524263790958109,0.5422337286150613,0.5603357817418677,848,1666,LinearSVR-C100epsilon0.1fit_interceptTruelossepsilon_insensitive--tfidf-ngram,"{'C': 100, 'epsilon': 0.1, 'fit_intercept': True, 'loss': 'epsilon_insensitive'}",0.7113739562310394,3117,1602
0,0.6713673441172404,0.5749407924663166,0.5815877486358035,798,1579,LinearSVR-C100epsilon0.1fit_interceptTruelosssquared_epsilon_insensitive--tfidf-ngram,"{'C': 100, 'epsilon': 0.1, 'fit_intercept': True, 'loss': 'squared_epsilon_insensitive'}",0.7354403136960408,3204,1652
0,0.6542236969445596,0.5159825646469399,0.5430294171386807,964,1537,LinearSVR-C100epsilon0.1fit_interceptFalselossepsilon_insensitive--tfidf-ngram,"{'C': 100, 'epsilon': 0.1, 'fit_intercept': False, 'loss': 'epsilon_insensitive'}",0.6888826498611152,3246,1486
0,0.6723351306511821,0.5456269617673306,0.5598068350668648,943,1427,LinearSVR-C100epsilon0.1fit_interceptFalselosssquared_epsilon_insensitive--tfidf-ngram,"{'C': 100, 'epsilon': 0.1, 'fit_intercept': False, 'loss': 'squared_epsilon_insensitive'}",0.7099082208672722,3356,1507
0,0.6206276786948707,0.4880112404072319,0.5294924554183813,906,1838,LinearSVR-C100epsilon0.01fit_interceptTruelossepsilon_insensitive--tfidf-ngram,"{'C': 100, 'epsilon': 0.01, 'fit_intercept': True, 'loss': 'epsilon_insensitive'}",0.667410258270149,2945,1544
0,0.6416424720033181,0.5239217039894526,0.5504682622268471,863,1729,LinearSVR-C100epsilon0.01fit_interceptTruelosssquared_epsilon_insensitive--tfidf-ngram,"{'C': 100, 'epsilon': 0.01, 'fit_intercept': True, 'loss': 'squared_epsilon_insensitive'}",0.6976393434229222,3054,1587
0,0.6210424443522743,0.4760864275030693,0.5130573814176586,1006,1735,LinearSVR-C100epsilon0.01fit_interceptFalselossepsilon_insensitive--tfidf-ngram,"{'C': 100, 'epsilon': 0.01, 'fit_intercept': False, 'loss': 'epsilon_insensitive'}",0.6533612667312377,3048,1444
0,0.6463431494538919,0.5084307145862412,0.5382671480144404,959,1599,LinearSVR-C100epsilon0.01fit_interceptFalselosssquared_epsilon_insensitive--tfidf-ngram,"{'C': 100, 'epsilon': 0.01, 'fit_intercept': False, 'loss': 'squared_epsilon_insensitive'}",0.6803999709856763,3184,1491
0,0.6189686160652564,0.4831754459009151,0.5236778430694781,935,1821,LinearSVR-C100epsilon0fit_interceptTruelossepsilon_insensitive--tfidf-ngram,"{'C': 100, 'epsilon': 0, 'fit_intercept': True, 'loss': 'epsilon_insensitive'}",0.6630884040841928,2962,1515
0,0.6403981750311074,0.5190290836637341,0.5477308294209702,875,1726,LinearSVR-C100epsilon0fit_interceptTruelosssquared_epsilon_insensitive--tfidf-ngram,"{'C': 100, 'epsilon': 0, 'fit_intercept': True, 'loss': 'squared_epsilon_insensitive'}",0.6936954434711371,3057,1575
0,0.6173095534356422,0.4723084775993852,0.5097414098476798,1011,1757,LinearSVR-C100epsilon0fit_interceptFalselossepsilon_insensitive--tfidf-ngram,"{'C': 100, 'epsilon': 0, 'fit_intercept': False, 'loss': 'epsilon_insensitive'}",0.6498571897920782,3026,1439
0,0.6435780450712014,0.5047672897495842,0.5363309352517985,959,1619,LinearSVR-C100epsilon0fit_interceptFalselosssquared_epsilon_insensitive--tfidf-ngram,"{'C': 100, 'epsilon': 0, 'fit_intercept': False, 'loss': 'squared_epsilon_insensitive'}",0.6772551596427825,3164,1491
0,0.6612747131204203,0.3387252868795797,0.0,2450,0,LinearSVR-C100epsilon1fit_interceptTruelossepsilon_insensitive--tfidf-ngram,"{'C': 100, 'epsilon': 1, 'fit_intercept': True, 'loss': 'epsilon_insensitive'}",0.5,4783,0
0,0.6612747131204203,0.3387252868795797,0.0,2450,0,LinearSVR-C100epsilon1fit_interceptTruelosssquared_epsilon_insensitive--tfidf-ngram,"{'C': 100, 'epsilon': 1, 'fit_intercept': True, 'loss': 'squared_epsilon_insensitive'}",0.5,4783,0
0,0.6612747131204203,0.3387252868795797,0.0,2450,0,LinearSVR-C100epsilon1fit_interceptFalselossepsilon_insensitive--tfidf-ngram,"{'C': 100, 'epsilon': 1, 'fit_intercept': False, 'loss': 'epsilon_insensitive'}",0.5,4783,0
0,0.6612747131204203,0.3387252868795797,0.0,2450,0,LinearSVR-C100epsilon1fit_interceptFalselosssquared_epsilon_insensitive--tfidf-ngram,"{'C': 100, 'epsilon': 1, 'fit_intercept': False, 'loss': 'squared_epsilon_insensitive'}",0.5,4783,0
0,0.6612747131204203,0.3387252868795797,0.0,2450,0,LinearSVR-C100epsilon2fit_interceptTruelossepsilon_insensitive--tfidf-ngram,"{'C': 100, 'epsilon': 2, 'fit_intercept': True, 'loss': 'epsilon_insensitive'}",0.5,4783,0
0,0.6612747131204203,0.3387252868795797,0.0,2450,0,LinearSVR-C100epsilon2fit_interceptTruelosssquared_epsilon_insensitive--tfidf-ngram,"{'C': 100, 'epsilon': 2, 'fit_intercept': True, 'loss': 'squared_epsilon_insensitive'}",0.5,4783,0
0,0.6612747131204203,0.3387252868795797,0.0,2450,0,LinearSVR-C100epsilon2fit_interceptFalselossepsilon_insensitive--tfidf-ngram,"{'C': 100, 'epsilon': 2, 'fit_intercept': False, 'loss': 'epsilon_insensitive'}",0.5,4783,0
0,0.6612747131204203,0.3387252868795797,0.0,2450,0,LinearSVR-C100epsilon2fit_interceptFalselosssquared_epsilon_insensitive--tfidf-ngram,"{'C': 100, 'epsilon': 2, 'fit_intercept': False, 'loss': 'squared_epsilon_insensitive'}",0.5,4783,0
0,0.6802156781418498,0.5990367201504749,0.5899663180287182,786,1527,LinearSVR-C10epsilon0.1fit_interceptTruelossepsilon_insensitive--tfidf-ngram,"{'C': 10, 'epsilon': 0.1, 'fit_intercept': True, 'loss': 'epsilon_insensitive'}",0.7520744814756344,3256,1664
0,0.7234895617309554,0.6772207605712336,0.643112062812277,648,1352,LinearSVR-C10epsilon0.1fit_interceptTruelosssquared_epsilon_insensitive--tfidf-ngram,"{'C': 10, 'epsilon': 0.1, 'fit_intercept': True, 'loss': 'squared_epsilon_insensitive'}",0.8016142204320574,3431,1802
0,0.6803539333609844,0.5708931421344744,0.5659031167855801,943,1369,LinearSVR-C10epsilon0.1fit_interceptFalselossepsilon_insensitive--tfidf-ngram,"{'C': 10, 'epsilon': 0.1, 'fit_intercept': False, 'loss': 'epsilon_insensitive'}",0.725820614676981,3414,1507
0,0.7086962532835615,0.6231044615533352,0.5944177093358998,906,1201,LinearSVR-C10epsilon0.1fit_interceptFalselosssquared_epsilon_insensitive--tfidf-ngram,"{'C': 10, 'epsilon': 0.1, 'fit_intercept': False, 'loss': 'squared_epsilon_insensitive'}",0.7647733682643034,3582,1544
0,0.6641780727222453,0.5626855485362278,0.5725849023403132,823,1606,LinearSVR-C10epsilon0.01fit_interceptTruelossepsilon_insensitive--tfidf-ngram,"{'C': 10, 'epsilon': 0.01, 'fit_intercept': True, 'loss': 'epsilon_insensitive'}",0.7253012582829494,3177,1627
0,0.7044103414903913,0.6407999781303536,0.6195729537366549,709,1429,LinearSVR-C10epsilon0.01fit_interceptTruelosssquared_epsilon_insensitive--tfidf-ngram,"{'C': 10, 'epsilon': 0.01, 'fit_intercept': True, 'loss': 'squared_epsilon_insensitive'}",0.7785199281468809,3354,1741
0,0.6647310935987834,0.5459341447811787,0.5536535983802687,946,1479,LinearSVR-C10epsilon0.01fit_interceptFalselossepsilon_insensitive--tfidf-ngram,"{'C': 10, 'epsilon': 0.01, 'fit_intercept': False, 'loss': 'epsilon_insensitive'}",0.7047587757662128,3304,1504
0,0.6970828148762616,0.6019707068372355,0.5848019708167519,907,1284,LinearSVR-C10epsilon0.01fit_interceptFalselosssquared_epsilon_insensitive--tfidf-ngram,"{'C': 10, 'epsilon': 0.01, 'fit_intercept': False, 'loss': 'squared_epsilon_insensitive'}",0.7482130163376244,3499,1543
0,0.6632102861883036,0.5602261202607295,0.5712777191129884,827,1609,LinearSVR-C10epsilon0fit_interceptTruelossepsilon_insensitive--tfidf-ngram,"{'C': 10, 'epsilon': 0, 'fit_intercept': True, 'loss': 'epsilon_insensitive'}",0.7233485942986855,3174,1623
0,0.7019217475459698,0.6367784500045669,0.6166429587482218,716,1440,LinearSVR-C10epsilon0fit_interceptTruelosssquared_epsilon_insensitive--tfidf-ngram,"{'C': 10, 'epsilon': 0, 'fit_intercept': True, 'loss': 'squared_epsilon_insensitive'}",0.7758511223849773,3343,1734
0,0.6643163279413797,0.5441071809479422,0.5536764705882353,944,1484,LinearSVR-C10epsilon0fit_interceptFalselossepsilon_insensitive--tfidf-ngram,"{'C': 10, 'epsilon': 0, 'fit_intercept': False, 'loss': 'epsilon_insensitive'}",0.7030184283623548,3299,1506
0,0.69611502834232,0.5995229511705085,0.5848129958443521,902,1296,LinearSVR-C10epsilon0fit_interceptFalselosssquared_epsilon_insensitive--tfidf-ngram,"{'C': 10, 'epsilon': 0, 'fit_intercept': False, 'loss': 'squared_epsilon_insensitive'}",0.7462391036280706,3487,1548
0,0.6612747131204203,0.3387252868795797,0.0,2450,0,LinearSVR-C10epsilon1fit_interceptTruelossepsilon_insensitive--tfidf-ngram,"{'C': 10, 'epsilon': 1, 'fit_intercept': True, 'loss': 'epsilon_insensitive'}",0.5,4783,0
0,0.6612747131204203,0.3387252868795797,0.0,2450,0,LinearSVR-C10epsilon1fit_interceptTruelosssquared_epsilon_insensitive--tfidf-ngram,"{'C': 10, 'epsilon': 1, 'fit_intercept': True, 'loss': 'squared_epsilon_insensitive'}",0.5,4783,0
0,0.6612747131204203,0.3387252868795797,0.0,2450,0,LinearSVR-C10epsilon1fit_interceptFalselossepsilon_insensitive--tfidf-ngram,"{'C': 10, 'epsilon': 1, 'fit_intercept': False, 'loss': 'epsilon_insensitive'}",0.5,4783,0
0,0.6612747131204203,0.3387252868795797,0.0,2450,0,LinearSVR-C10epsilon1fit_interceptFalselosssquared_epsilon_insensitive--tfidf-ngram,"{'C': 10, 'epsilon': 1, 'fit_intercept': False, 'loss': 'squared_epsilon_insensitive'}",0.5,4783,0
0,0.6612747131204203,0.3387252868795797,0.0,2450,0,LinearSVR-C10epsilon2fit_interceptTruelossepsilon_insensitive--tfidf-ngram,"{'C': 10, 'epsilon': 2, 'fit_intercept': True, 'loss': 'epsilon_insensitive'}",0.5,4783,0
0,0.6612747131204203,0.3387252868795797,0.0,2450,0,LinearSVR-C10epsilon2fit_interceptTruelosssquared_epsilon_insensitive--tfidf-ngram,"{'C': 10, 'epsilon': 2, 'fit_intercept': True, 'loss': 'squared_epsilon_insensitive'}",0.5,4783,0
0,0.6612747131204203,0.3387252868795797,0.0,2450,0,LinearSVR-C10epsilon2fit_interceptFalselossepsilon_insensitive--tfidf-ngram,"{'C': 10, 'epsilon': 2, 'fit_intercept': False, 'loss': 'epsilon_insensitive'}",0.5,4783,0
0,0.6612747131204203,0.3387252868795797,0.0,2450,0,LinearSVR-C10epsilon2fit_interceptFalselosssquared_epsilon_insensitive--tfidf-ngram,"{'C': 10, 'epsilon': 2, 'fit_intercept': False, 'loss': 'squared_epsilon_insensitive'}",0.5,4783,0
0,0.7652426379095811,0.7493336850752506,0.6912727272727273,549,1149,LinearSVR-C1.0epsilon0.1fit_interceptTruelossepsilon_insensitive--tfidf-ngram,"{'C': 1.0, 'epsilon': 0.1, 'fit_intercept': True, 'loss': 'epsilon_insensitive'}",0.8464541509683531,3634,1901
0,0.7868104520945666,0.7902599069406567,0.717478930010993,492,1050,LinearSVR-C1.0epsilon0.1fit_interceptTruelosssquared_epsilon_insensitive--tfidf-ngram,"{'C': 1.0, 'epsilon': 0.1, 'fit_intercept': True, 'loss': 'squared_epsilon_insensitive'}",0.8739057119816356,3733,1958
0,0.7440895893819992,0.6802919083248472,0.6374142997061705,823,1028,LinearSVR-C1.0epsilon0.1fit_interceptFalselossepsilon_insensitive--tfidf-ngram,"{'C': 1.0, 'epsilon': 0.1, 'fit_intercept': False, 'loss': 'epsilon_insensitive'}",0.8087332260941174,3755,1627
0,0.7570855799806443,0.6858440987910464,0.643248730964467,866,891,LinearSVR-C1.0epsilon0.1fit_interceptFalselosssquared_epsilon_insensitive--tfidf-ngram,"{'C': 1.0, 'epsilon': 0.1, 'fit_intercept': False, 'loss': 'squared_epsilon_insensitive'}",0.8164670794096439,3892,1584
0,0.7529379234066086,0.735566318621179,0.6785393056305091,564,1223,LinearSVR-C1.0epsilon0.01fit_interceptTruelossepsilon_insensitive--tfidf-ngram,"{'C': 1.0, 'epsilon': 0.01, 'fit_intercept': True, 'loss': 'epsilon_insensitive'}",0.838082323876655,3560,1886
0,0.7775473524125536,0.7770233131886349,0.7060113283391193,518,1091,LinearSVR-C1.0epsilon0.01fit_interceptTruelosssquared_epsilon_insensitive--tfidf-ngram,"{'C': 1.0, 'epsilon': 0.01, 'fit_intercept': True, 'loss': 'squared_epsilon_insensitive'}",0.8652434856443099,3692,1932
0,0.7402184432462325,0.6757554514606221,0.63422230874051,821,1058,LinearSVR-C1.0epsilon0.01fit_interceptFalselossepsilon_insensitive--tfidf-ngram,"{'C': 1.0, 'epsilon': 0.01, 'fit_intercept': False, 'loss': 'epsilon_insensitive'}",0.8043559033481675,3725,1629
0,0.7532144338448776,0.6873943971577404,0.6404833836858005,860,925,LinearSVR-C1.0epsilon0.01fit_interceptFalselosssquared_epsilon_insensitive--tfidf-ngram,"{'C': 1.0, 'epsilon': 0.01, 'fit_intercept': False, 'loss': 'squared_epsilon_insensitive'}",0.8153276698511309,3858,1590
0,0.7525231577492051,0.7335078721464658,0.6780575539568345,565,1225,LinearSVR-C1.0epsilon0fit_interceptTruelossepsilon_insensitive--tfidf-ngram,"{'C': 1.0, 'epsilon': 0, 'fit_intercept': True, 'loss': 'epsilon_insensitive'}",0.8367973306822207,3558,1885
0,0.7769943315360155,0.7754064411528059,0.7053881278538813,519,1094,LinearSVR-C1.0epsilon0fit_interceptTruelosssquared_epsilon_insensitive--tfidf-ngram,"{'C': 1.0, 'epsilon': 0, 'fit_intercept': True, 'loss': 'squared_epsilon_insensitive'}",0.8642423208045501,3689,1931
0,0.7386976358357528,0.6747655741937593,0.6320093457943926,827,1063,LinearSVR-C1.0epsilon0fit_interceptFalselossepsilon_insensitive--tfidf-ngram,"{'C': 1.0, 'epsilon': 0, 'fit_intercept': False, 'loss': 'epsilon_insensitive'}",0.8034835109038387,3720,1623
0,0.7532144338448776,0.6871578755306845,0.6404833836858005,860,925,LinearSVR-C1.0epsilon0fit_interceptFalselosssquared_epsilon_insensitive--tfidf-ngram,"{'C': 1.0, 'epsilon': 0, 'fit_intercept': False, 'loss': 'squared_epsilon_insensitive'}",0.8149626867263736,3858,1590
0,0.6612747131204203,0.3387252868795797,0.0,2450,0,LinearSVR-C1.0epsilon1fit_interceptTruelossepsilon_insensitive--tfidf-ngram,"{'C': 1.0, 'epsilon': 1, 'fit_intercept': True, 'loss': 'epsilon_insensitive'}",0.5,4783,0
0,0.6612747131204203,0.3387252868795797,0.0,2450,0,LinearSVR-C1.0epsilon1fit_interceptTruelosssquared_epsilon_insensitive--tfidf-ngram,"{'C': 1.0, 'epsilon': 1, 'fit_intercept': True, 'loss': 'squared_epsilon_insensitive'}",0.5,4783,0
0,0.6612747131204203,0.3387252868795797,0.0,2450,0,LinearSVR-C1.0epsilon1fit_interceptFalselossepsilon_insensitive--tfidf-ngram,"{'C': 1.0, 'epsilon': 1, 'fit_intercept': False, 'loss': 'epsilon_insensitive'}",0.5,4783,0
0,0.6612747131204203,0.3387252868795797,0.0,2450,0,LinearSVR-C1.0epsilon1fit_interceptFalselosssquared_epsilon_insensitive--tfidf-ngram,"{'C': 1.0, 'epsilon': 1, 'fit_intercept': False, 'loss': 'squared_epsilon_insensitive'}",0.5,4783,0
0,0.6612747131204203,0.3387252868795797,0.0,2450,0,LinearSVR-C1.0epsilon2fit_interceptTruelossepsilon_insensitive--tfidf-ngram,"{'C': 1.0, 'epsilon': 2, 'fit_intercept': True, 'loss': 'epsilon_insensitive'}",0.5,4783,0
0,0.6612747131204203,0.3387252868795797,0.0,2450,0,LinearSVR-C1.0epsilon2fit_interceptTruelosssquared_epsilon_insensitive--tfidf-ngram,"{'C': 1.0, 'epsilon': 2, 'fit_intercept': True, 'loss': 'squared_epsilon_insensitive'}",0.5,4783,0
0,0.6612747131204203,0.3387252868795797,0.0,2450,0,LinearSVR-C1.0epsilon2fit_interceptFalselossepsilon_insensitive--tfidf-ngram,"{'C': 1.0, 'epsilon': 2, 'fit_intercept': False, 'loss': 'epsilon_insensitive'}",0.5,4783,0
0,0.6612747131204203,0.3387252868795797,0.0,2450,0,LinearSVR-C1.0epsilon2fit_interceptFalselosssquared_epsilon_insensitive--tfidf-ngram,"{'C': 1.0, 'epsilon': 2, 'fit_intercept': False, 'loss': 'squared_epsilon_insensitive'}",0.5,4783,0
0,0.8047836305820545,0.8137936189957775,0.739867354458364,442,970,LinearSVR-C0.1epsilon0.1fit_interceptTruelossepsilon_insensitive--tfidf-ngram,"{'C': 0.1, 'epsilon': 0.1, 'fit_intercept': True, 'loss': 'epsilon_insensitive'}",0.8905171803197548,3813,2008
0,0.8137702198257984,0.8311024693664535,0.7493953488372093,436,911,LinearSVR-C0.1epsilon0.1fit_interceptTruelosssquared_epsilon_insensitive--tfidf-ngram,"{'C': 0.1, 'epsilon': 0.1, 'fit_intercept': True, 'loss': 'squared_epsilon_insensitive'}",0.9016024440300896,3872,2014
0,0.7619245126503525,0.6884416717648392,0.602309468822171,1146,576,LinearSVR-C0.1epsilon0.1fit_interceptFalselossepsilon_insensitive--tfidf-ngram,"{'C': 0.1, 'epsilon': 0.1, 'fit_intercept': False, 'loss': 'epsilon_insensitive'}",0.8152326906091727,4207,1304
0,0.7359325314530624,0.616169573351412,0.5611213235294117,1229,681,LinearSVR-C0.1epsilon0.1fit_interceptFalselosssquared_epsilon_insensitive--tfidf-ngram,"{'C': 0.1, 'epsilon': 0.1, 'fit_intercept': False, 'loss': 'squared_epsilon_insensitive'}",0.7793307931577398,4102,1221
0,0.8017420157610949,0.8117925719668269,0.7347391786903441,464,970,LinearSVR-C0.1epsilon0.01fit_interceptTruelossepsilon_insensitive--tfidf-ngram,"{'C': 0.1, 'epsilon': 0.01, 'fit_intercept': True, 'loss': 'epsilon_insensitive'}",0.8890019499332245,3813,1986
0,0.8125259228535877,0.8298742652494987,0.7483296213808464,434,922,LinearSVR-C0.1epsilon0.01fit_interceptTruelosssquared_epsilon_insensitive--tfidf-ngram,"{'C': 0.1, 'epsilon': 0.01, 'fit_intercept': True, 'loss': 'squared_epsilon_insensitive'}",0.900634133645095,3861,2016
0,0.7657956587861192,0.7056714530728831,0.5912162162162162,1225,469,LinearSVR-C0.1epsilon0.01fit_interceptFalselossepsilon_insensitive--tfidf-ngram,"{'C': 0.1, 'epsilon': 0.01, 'fit_intercept': False, 'loss': 'epsilon_insensitive'}",0.822421928001809,4314,1225
0,0.7497580533665146,0.6444167293036197,0.5897552130553037,1149,661,LinearSVR-C0.1epsilon0.01fit_interceptFalselosssquared_epsilon_insensitive--tfidf-ngram,"{'C': 0.1, 'epsilon': 0.01, 'fit_intercept': False, 'loss': 'squared_epsilon_insensitive'}",0.7959544645790577,4122,1301
0,0.8016037605419605,0.8112561323676551,0.7340129749768305,470,965,LinearSVR-C0.1epsilon0fit_interceptTruelossepsilon_insensitive--tfidf-ngram,"{'C': 0.1, 'epsilon': 0, 'fit_intercept': True, 'loss': 'epsilon_insensitive'}",0.8885952373841026,3818,1980
0,0.8123876676344532,0.8296226464728577,0.7480972712084648,435,922,LinearSVR-C0.1epsilon0fit_interceptTruelosssquared_epsilon_insensitive--tfidf-ngram,"{'C': 0.1, 'epsilon': 0, 'fit_intercept': True, 'loss': 'squared_epsilon_insensitive'}",0.9004711414149603,3861,2015
0,0.7671782109774644,0.7065302450988697,0.5912621359223301,1232,452,LinearSVR-C0.1epsilon0fit_interceptFalselossepsilon_insensitive--tfidf-ngram,"{'C': 0.1, 'epsilon': 0, 'fit_intercept': False, 'loss': 'epsilon_insensitive'}",0.8226072783284336,4331,1218
0,0.7510023503387253,0.6469084053855957,0.5920724801812004,1143,658,LinearSVR-C0.1epsilon0fit_interceptFalselosssquared_epsilon_insensitive--tfidf-ngram,"{'C': 0.1, 'epsilon': 0, 'fit_intercept': False, 'loss': 'squared_epsilon_insensitive'}",0.7974698656380804,4125,1307
0,0.6612747131204203,0.3387252868795797,0.0,2450,0,LinearSVR-C0.1epsilon1fit_interceptTruelossepsilon_insensitive--tfidf-ngram,"{'C': 0.1, 'epsilon': 1, 'fit_intercept': True, 'loss': 'epsilon_insensitive'}",0.5,4783,0
0,0.6612747131204203,0.3387252868795797,0.0,2450,0,LinearSVR-C0.1epsilon1fit_interceptTruelosssquared_epsilon_insensitive--tfidf-ngram,"{'C': 0.1, 'epsilon': 1, 'fit_intercept': True, 'loss': 'squared_epsilon_insensitive'}",0.5,4783,0
0,0.6612747131204203,0.3387252868795797,0.0,2450,0,LinearSVR-C0.1epsilon1fit_interceptFalselossepsilon_insensitive--tfidf-ngram,"{'C': 0.1, 'epsilon': 1, 'fit_intercept': False, 'loss': 'epsilon_insensitive'}",0.5,4783,0
0,0.6612747131204203,0.3387252868795797,0.0,2450,0,LinearSVR-C0.1epsilon1fit_interceptFalselosssquared_epsilon_insensitive--tfidf-ngram,"{'C': 0.1, 'epsilon': 1, 'fit_intercept': False, 'loss': 'squared_epsilon_insensitive'}",0.5,4783,0
0,0.6612747131204203,0.3387252868795797,0.0,2450,0,LinearSVR-C0.1epsilon2fit_interceptTruelossepsilon_insensitive--tfidf-ngram,"{'C': 0.1, 'epsilon': 2, 'fit_intercept': True, 'loss': 'epsilon_insensitive'}",0.5,4783,0
